impression_id,user_id,ad_id,campaign_id,impression_time,device_type
IMP-151866,FNP-U08906,AD-021,CMP-006,2026-02-28 18:50:11,Mobile
IMP-120372,FNP-U07419,AD-009,CMP-003,2026-02-03 18:56:11,Mobile
IMP-198611,FNP-U04437,AD-021,CMP-006,2026-02-20 18:34:22,Mobile
IMP-074806,FNP-U07692,AD-017,CMP-005,2026-02-18 13:30:46,Mobile
IMP-039693,FNP-U06550,AD-012,CMP-003,2026-01-18 13:47:36,Mobile
IMP-048697,FNP-U08050,AD-011,CMP-003,2026-03-24 18:48:21,Mobile
IMP-074643,FNP-U09784,AD-007,CMP-002,2026-01-11 18:11:11,Mobile
IMP-139801,FNP-U02783,AD-004,CMP-001,2026-03-20 00:37:18,Mobile
IMP-062870,FNP-U00429,AD-004,CMP-001,2026-02-19 13:05:02,Mobile
IMP-091947,FNP-U08530,AD-004,CMP-001,2026-01-17 06:01:58,Desktop
IMP-167714,FNP-U06863,AD-008,CMP-002,2026-02-12 09:01:51,Mobile
IMP-074579,FNP-U07520,AD-021,CMP-006,2026-03-28 06:19:16,Desktop
IMP-003330,FNP-U03832,AD-005,CMP-002,2026-02-01 21:13:37,Mobile
IMP-079834,FNP-U01208,AD-014,CMP-004,2026-01-17 21:20:42,Mobile
IMP-158088,FNP-U02002,AD-020,CMP-005,2026-01-14 09:14:29,Desktop
IMP-171883,FNP-U00467,AD-014,CMP-004,2026-01-01 13:50:09,Desktop
IMP-106120,FNP-U02828,AD-010,CMP-003,2026-01-17 18:40:20,Mobile
IMP-043667,FNP-U05732,AD-008,CMP-002,2026-03-14 13:20:45,Mobile
IMP-176497,FNP-U07366,AD-001,CMP-001,2026-02-16 09:00:21,Mobile
IMP-039352,FNP-U07477,AD-002,CMP-001,2026-01-02 13:03:28,Desktop
IMP-103378,FNP-U00604,AD-003,CMP-001,2026-02-03 18:05:00,Mobile
IMP-127345,FNP-U07741,AD-021,CMP-006,2026-01-31 13:25:18,Mobile
IMP-031766,FNP-U09291,AD-001,CMP-001,2026-02-22 18:27:54,Mobile
IMP-146542,FNP-U05065,AD-017,CMP-005,2026-01-24 18:18:45,Mobile
IMP-195069,FNP-U05781,AD-003,CMP-001,2026-01-24 09:42:41,Desktop
IMP-086658,FNP-U04183,AD-013,CMP-004,2026-02-17 09:27:13,Desktop
IMP-091994,FNP-U08432,AD-004,CMP-001,2026-03-17 18:56:02,Mobile
IMP-003725,FNP-U04348,AD-012,CMP-003,2026-01-02 06:50:17,Mobile
IMP-165846,FNP-U02343,AD-008,CMP-002,2026-01-19 13:41:07,Mobile
IMP-106975,FNP-U07811,AD-012,CMP-003,2026-03-09 13:26:58,Mobile
IMP-149363,FNP-U05835,AD-012,CMP-003,2026-03-14 09:05:17,Mobile
IMP-119243,FNP-U09058,AD-005,CMP-002,2026-02-11 13:17:07,Desktop
IMP-053223,FNP-U04517,AD-017,CMP-005,2026-01-06 09:27:05,Mobile
IMP-016454,FNP-U01917,AD-005,CMP-002,2026-03-03 13:33:56,Mobile
IMP-062523,FNP-U06642,AD-005,CMP-002,2026-03-02 13:03:10,Desktop
IMP-046062,FNP-U03124,AD-001,CMP-001,2026-01-15 13:01:13,Mobile
IMP-103395,FNP-U01808,AD-011,CMP-003,2026-03-28 09:17:41,Mobile
IMP-137949,FNP-U02415,AD-016,CMP-004,2026-03-08 06:10:29,Desktop
IMP-006230,FNP-U07522,AD-003,CMP-001,2026-01-17 13:33:48,Desktop
IMP-161437,FNP-U06931,AD-010,CMP-003,2026-03-14 13:33:44,Mobile
IMP-102427,FNP-U02237,AD-004,CMP-001,2026-02-02 21:25:28,Tablet
IMP-064931,FNP-U01887,AD-010,CMP-003,2026-02-23 13:49:15,Mobile
IMP-105571,FNP-U08726,AD-014,CMP-004,2026-03-02 09:51:38,Mobile
IMP-143978,FNP-U08507,AD-001,CMP-001,2026-01-08 21:09:09,Desktop
IMP-013836,FNP-U09963,AD-017,CMP-005,2026-03-06 06:47:08,Mobile
IMP-173087,FNP-U08599,AD-011,CMP-003,2026-01-13 09:03:29,Mobile
IMP-063713,FNP-U06074,AD-014,CMP-004,2026-02-04 13:38:22,Mobile
IMP-009818,FNP-U04869,AD-001,CMP-001,2026-03-28 18:29:11,Mobile
IMP-175276,FNP-U06902,AD-021,CMP-006,2026-02-10 21:42:56,Mobile
IMP-132718,FNP-U01183,AD-001,CMP-001,2026-01-06 18:42:22,Desktop
IMP-122592,FNP-U03974,AD-001,CMP-001,2026-02-23 18:07:10,Desktop
IMP-114536,FNP-U02751,AD-011,CMP-003,2026-01-28 13:31:32,Mobile
IMP-096508,FNP-U07405,AD-001,CMP-001,2026-02-08 13:49:32,Mobile
IMP-098065,FNP-U04068,AD-004,CMP-001,2026-03-24 18:10:16,Mobile
IMP-114518,FNP-U01945,AD-013,CMP-004,2026-03-04 09:35:44,Mobile
IMP-114655,FNP-U05628,AD-014,CMP-004,2026-01-29 21:20:27,Desktop
IMP-052219,FNP-U07213,AD-015,CMP-004,2026-02-07 13:20:05,Mobile
IMP-119010,FNP-U05847,AD-012,CMP-003,2026-02-16 06:48:51,Mobile
IMP-125913,FNP-U04916,AD-002,CMP-001,2026-01-31 09:24:59,Mobile
IMP-065176,FNP-U01359,AD-001,CMP-001,2026-02-07 09:38:09,Mobile
IMP-117276,FNP-U09376,AD-018,CMP-005,2026-03-31 13:59:16,Desktop
IMP-119056,FNP-U04178,AD-021,CMP-006,2026-01-17 21:15:02,Mobile
IMP-025755,FNP-U04484,AD-004,CMP-001,2026-03-17 13:22:34,Mobile
IMP-186111,FNP-U09740,AD-004,CMP-001,2026-03-06 09:54:21,Mobile
IMP-182765,FNP-U02719,AD-022,CMP-006,2026-03-08 13:33:14,Mobile
IMP-126197,FNP-U08149,AD-001,CMP-001,2026-01-09 00:05:11,Desktop
IMP-066037,FNP-U06661,AD-019,CMP-005,2026-02-01 21:36:13,Mobile
IMP-179424,FNP-U03167,AD-012,CMP-003,2026-03-17 13:18:57,Mobile
IMP-040000,FNP-U08205,AD-012,CMP-003,2026-03-24 13:54:39,Desktop
IMP-123436,FNP-U07206,AD-014,CMP-004,2026-02-09 21:41:39,Mobile
IMP-049113,FNP-U08607,AD-007,CMP-002,2026-02-02 13:19:11,Desktop
IMP-149945,FNP-U03258,AD-018,CMP-005,2026-03-23 00:21:26,Mobile
IMP-171281,FNP-U00007,AD-012,CMP-003,2026-02-23 18:33:09,Mobile
IMP-194704,FNP-U00385,AD-021,CMP-006,2026-02-14 09:39:11,Desktop
IMP-062161,FNP-U01330,AD-010,CMP-003,2026-01-26 18:45:37,Mobile
IMP-032665,FNP-U00362,AD-019,CMP-005,2026-02-13 09:48:58,Mobile
IMP-148469,FNP-U01849,AD-009,CMP-003,2026-01-07 21:12:07,Mobile
IMP-092227,FNP-U09980,AD-006,CMP-002,2026-02-25 06:42:36,Desktop
IMP-059228,FNP-U06936,AD-009,CMP-003,2026-03-28 13:39:16,Desktop
IMP-161923,FNP-U06246,AD-024,CMP-006,2026-02-19 18:40:30,Mobile
IMP-026600,FNP-U01056,AD-021,CMP-006,2026-01-17 06:21:46,Mobile
IMP-119746,FNP-U08523,AD-010,CMP-003,2026-01-11 18:46:50,Mobile
IMP-076637,FNP-U06311,AD-004,CMP-001,2026-02-20 13:06:20,Desktop
IMP-034956,FNP-U05060,AD-015,CMP-004,2026-02-21 13:13:15,Desktop
IMP-112980,FNP-U03435,AD-008,CMP-002,2026-03-03 13:13:06,Desktop
IMP-046884,FNP-U01070,AD-017,CMP-005,2026-03-26 13:14:46,Tablet
IMP-056961,FNP-U01716,AD-003,CMP-001,2026-01-27 06:04:28,Mobile
IMP-197288,FNP-U04031,AD-019,CMP-005,2026-01-02 21:45:06,Mobile
IMP-154008,FNP-U07157,AD-018,CMP-005,2026-01-24 18:34:32,Mobile
IMP-139176,FNP-U02759,AD-001,CMP-001,2026-01-04 21:13:33,Desktop
IMP-011373,FNP-U05623,AD-009,CMP-003,2026-02-13 21:40:57,Mobile
IMP-067890,FNP-U07117,AD-001,CMP-001,2026-02-21 09:20:28,Mobile
IMP-063931,FNP-U01072,AD-017,CMP-005,2026-02-22 21:34:04,Desktop
IMP-084192,FNP-U02172,AD-008,CMP-002,2026-01-28 13:59:11,Mobile
IMP-009655,FNP-U08744,AD-008,CMP-002,2026-02-23 21:24:45,Desktop
IMP-024651,FNP-U04191,AD-015,CMP-004,2026-03-06 13:11:21,Mobile
IMP-013159,FNP-U03337,AD-009,CMP-003,2026-03-27 09:53:42,Mobile
IMP-086764,FNP-U02196,AD-001,CMP-001,2026-03-10 21:09:12,Mobile
IMP-051613,FNP-U07449,AD-015,CMP-004,2026-01-11 13:29:50,Mobile
IMP-113543,FNP-U05062,AD-023,CMP-006,2026-03-21 13:10:50,Mobile
IMP-024258,FNP-U08953,AD-005,CMP-002,2026-02-02 18:28:39,Mobile
IMP-132858,FNP-U06727,AD-013,CMP-004,2026-03-29 21:33:30,Mobile
IMP-057808,FNP-U01289,AD-006,CMP-002,2026-01-01 13:09:36,Desktop
IMP-161326,FNP-U03641,AD-017,CMP-005,2026-01-24 13:00:54,Desktop
IMP-013265,FNP-U05150,AD-001,CMP-001,2026-03-13 09:06:54,Mobile
IMP-018914,FNP-U07210,AD-010,CMP-003,2026-01-24 21:03:23,Desktop
IMP-059775,FNP-U02713,AD-003,CMP-001,2026-02-02 18:18:01,Tablet
IMP-129326,FNP-U04943,AD-002,CMP-001,2026-01-30 21:35:29,Mobile
IMP-179979,FNP-U08337,AD-014,CMP-004,2026-01-04 13:37:25,Mobile
IMP-112122,FNP-U04673,AD-006,CMP-002,2026-02-19 13:11:36,Mobile
IMP-193368,FNP-U02197,AD-008,CMP-002,2026-03-27 13:08:29,Desktop
IMP-186596,FNP-U04385,AD-004,CMP-001,2026-03-01 09:53:57,Mobile
IMP-045778,FNP-U08927,AD-005,CMP-002,2026-01-24 18:44:03,Mobile
IMP-067967,FNP-U04053,AD-007,CMP-002,2026-03-28 09:27:31,Mobile
IMP-106720,FNP-U08527,AD-015,CMP-004,2026-02-01 13:33:01,Desktop
IMP-032490,FNP-U09550,AD-008,CMP-002,2026-01-06 13:09:53,Mobile
IMP-064591,FNP-U06454,AD-001,CMP-001,2026-02-28 21:20:27,Mobile
IMP-047743,FNP-U02109,AD-007,CMP-002,2026-01-18 09:23:30,Desktop
IMP-153556,FNP-U00091,AD-001,CMP-001,2026-03-19 13:49:34,Mobile
IMP-095569,FNP-U00894,AD-005,CMP-002,2026-01-28 21:27:13,Mobile
IMP-072793,FNP-U00544,AD-009,CMP-003,2026-01-22 13:40:44,Mobile
IMP-170757,FNP-U09059,AD-014,CMP-004,2026-03-15 21:21:15,Mobile
IMP-055765,FNP-U01657,AD-017,CMP-005,2026-01-31 13:46:00,Mobile
IMP-065000,FNP-U03957,AD-010,CMP-003,2026-03-09 13:49:12,Mobile
IMP-009865,FNP-U03488,AD-006,CMP-002,2026-01-01 13:04:58,Mobile
IMP-190468,FNP-U01201,AD-009,CMP-003,2026-03-01 18:56:04,Mobile
IMP-098373,FNP-U04790,AD-009,CMP-003,2026-02-11 21:27:26,Mobile
IMP-043673,FNP-U04957,AD-016,CMP-004,2026-01-26 06:06:35,Mobile
IMP-135701,FNP-U08303,AD-012,CMP-003,2026-01-07 18:22:40,Mobile
IMP-117238,FNP-U01848,AD-002,CMP-001,2026-02-11 13:01:43,Tablet
IMP-017471,FNP-U07180,AD-015,CMP-004,2026-02-13 18:24:28,Mobile
IMP-048702,FNP-U02710,AD-021,CMP-006,2026-02-15 09:38:53,Mobile
IMP-132884,FNP-U07516,AD-006,CMP-002,2026-02-14 13:12:18,Mobile
IMP-148720,FNP-U08938,AD-018,CMP-005,2026-02-02 09:12:55,Mobile
IMP-122579,FNP-U02943,AD-005,CMP-002,2026-02-25 21:28:05,Mobile
IMP-116395,FNP-U01763,AD-006,CMP-002,2026-03-06 13:26:25,Mobile
IMP-048000,FNP-U04728,AD-008,CMP-002,2026-03-01 09:52:09,Desktop
IMP-022171,FNP-U00947,AD-012,CMP-003,2026-03-22 13:09:28,Mobile
IMP-142027,FNP-U01195,AD-007,CMP-002,2026-03-30 06:51:52,Mobile
IMP-191595,FNP-U08134,AD-005,CMP-002,2026-03-25 18:13:04,Mobile
IMP-040322,FNP-U02344,AD-015,CMP-004,2026-02-03 09:58:03,Mobile
IMP-133343,FNP-U01957,AD-003,CMP-001,2026-03-09 13:15:07,Mobile
IMP-127333,FNP-U04990,AD-003,CMP-001,2026-01-30 09:17:09,Mobile
IMP-127496,FNP-U04945,AD-006,CMP-002,2026-03-16 13:56:48,Mobile
IMP-109919,FNP-U04170,AD-013,CMP-004,2026-02-07 13:27:03,Mobile
IMP-084981,FNP-U09412,AD-018,CMP-005,2026-03-03 18:51:33,Mobile
IMP-092231,FNP-U03556,AD-015,CMP-004,2026-03-26 18:50:21,Mobile
IMP-038576,FNP-U04210,AD-013,CMP-004,2026-02-24 06:08:36,Desktop
IMP-071767,FNP-U08974,AD-001,CMP-001,2026-02-14 13:42:15,Mobile
IMP-014341,FNP-U03153,AD-001,CMP-001,2026-03-26 13:03:08,Mobile
IMP-070937,FNP-U07733,AD-001,CMP-001,2026-01-20 13:14:19,Mobile
IMP-165246,FNP-U08506,AD-019,CMP-005,2026-03-20 13:47:44,Mobile
IMP-057703,FNP-U05879,AD-018,CMP-005,2026-02-01 06:34:41,Desktop
IMP-101194,FNP-U08490,AD-015,CMP-004,2026-03-30 18:11:55,Mobile
IMP-061175,FNP-U03763,AD-006,CMP-002,2026-03-08 13:47:43,Mobile
IMP-075540,FNP-U04542,AD-008,CMP-002,2026-02-24 21:39:27,Mobile
IMP-052288,FNP-U08484,AD-002,CMP-001,2026-03-04 18:52:00,Mobile
IMP-160516,FNP-U00472,AD-009,CMP-003,2026-03-22 13:56:11,Mobile
IMP-026892,FNP-U08868,AD-009,CMP-003,2026-01-24 13:32:20,Mobile
IMP-019587,FNP-U09613,AD-005,CMP-002,2026-02-18 18:06:12,Mobile
IMP-157976,FNP-U08832,AD-001,CMP-001,2026-03-12 13:39:50,Mobile
IMP-001999,FNP-U01672,AD-017,CMP-005,2026-03-08 13:30:30,Tablet
IMP-013719,FNP-U04319,AD-018,CMP-005,2026-01-07 06:12:04,Desktop
IMP-181948,FNP-U07141,AD-012,CMP-003,2026-01-13 18:42:38,Mobile
IMP-089288,FNP-U03743,AD-018,CMP-005,2026-01-08 21:57:36,Mobile
IMP-129274,FNP-U07810,AD-004,CMP-001,2026-02-03 21:42:31,Mobile
IMP-022929,FNP-U06982,AD-018,CMP-005,2026-03-27 13:13:29,Desktop
IMP-016792,FNP-U03494,AD-017,CMP-005,2026-01-02 06:19:24,Mobile
IMP-150910,FNP-U00725,AD-017,CMP-005,2026-02-05 09:27:19,Mobile
IMP-171914,FNP-U02897,AD-012,CMP-003,2026-02-19 06:25:35,Mobile
IMP-074126,FNP-U07962,AD-002,CMP-001,2026-01-19 21:32:54,Mobile
IMP-011495,FNP-U02052,AD-010,CMP-003,2026-03-13 18:06:52,Mobile
IMP-052805,FNP-U07955,AD-005,CMP-002,2026-03-16 21:12:17,Mobile
IMP-049307,FNP-U01789,AD-005,CMP-002,2026-01-19 21:56:11,Mobile
IMP-152820,FNP-U09001,AD-012,CMP-003,2026-03-14 13:23:53,Mobile
IMP-199425,FNP-U00896,AD-015,CMP-004,2026-01-11 13:59:30,Mobile
IMP-099446,FNP-U09572,AD-017,CMP-005,2026-01-08 21:02:03,Mobile
IMP-135779,FNP-U03421,AD-008,CMP-002,2026-02-24 06:53:51,Mobile
IMP-167919,FNP-U08096,AD-019,CMP-005,2026-01-07 13:50:41,Mobile
IMP-078940,FNP-U07027,AD-015,CMP-004,2026-03-08 18:15:24,Mobile
IMP-063285,FNP-U00762,AD-021,CMP-006,2026-03-21 06:17:21,Desktop
IMP-113271,FNP-U06022,AD-018,CMP-005,2026-01-09 09:40:49,Desktop
IMP-190909,FNP-U07717,AD-011,CMP-003,2026-02-27 13:35:26,Mobile
IMP-142208,FNP-U05724,AD-006,CMP-002,2026-03-05 18:54:32,Desktop
IMP-140609,FNP-U07541,AD-022,CMP-006,2026-02-02 09:35:34,Mobile
IMP-101687,FNP-U00991,AD-015,CMP-004,2026-02-07 13:15:53,Mobile
IMP-005519,FNP-U02200,AD-011,CMP-003,2026-01-20 13:18:03,Mobile
IMP-051449,FNP-U05290,AD-013,CMP-004,2026-01-07 06:56:47,Desktop
IMP-027011,FNP-U03473,AD-021,CMP-006,2026-02-27 13:28:38,Desktop
IMP-166010,FNP-U07815,AD-021,CMP-006,2026-01-08 00:01:21,Mobile
IMP-005290,FNP-U01642,AD-010,CMP-003,2026-01-13 13:14:43,Desktop
IMP-036154,FNP-U08529,AD-010,CMP-003,2026-01-04 18:58:07,Desktop
IMP-047139,FNP-U00031,AD-004,CMP-001,2026-03-27 09:40:09,Mobile
IMP-113967,FNP-U07810,AD-010,CMP-003,2026-01-19 13:06:14,Desktop
IMP-194395,FNP-U05760,AD-004,CMP-001,2026-01-31 21:17:03,Mobile
IMP-132950,FNP-U07385,AD-021,CMP-006,2026-02-14 18:46:07,Mobile
IMP-150859,FNP-U02030,AD-001,CMP-001,2026-02-25 13:23:55,Mobile
IMP-056547,FNP-U00176,AD-016,CMP-004,2026-01-29 09:55:34,Mobile
IMP-104318,FNP-U05140,AD-021,CMP-006,2026-01-02 18:43:06,Desktop
IMP-160515,FNP-U01814,AD-012,CMP-003,2026-03-08 21:21:55,Mobile
IMP-197495,FNP-U01401,AD-008,CMP-002,2026-01-14 13:20:31,Mobile
IMP-057556,FNP-U09102,AD-004,CMP-001,2026-03-11 09:04:10,Mobile
IMP-003767,FNP-U01990,AD-011,CMP-003,2026-02-13 06:33:19,Desktop
IMP-103262,FNP-U08215,AD-005,CMP-002,2026-03-17 13:59:09,Mobile
IMP-164852,FNP-U04295,AD-010,CMP-003,2026-02-22 09:35:41,Mobile
IMP-144362,FNP-U04890,AD-010,CMP-003,2026-01-14 06:44:44,Mobile
IMP-080191,FNP-U03227,AD-021,CMP-006,2026-02-13 13:38:27,Desktop
IMP-190668,FNP-U07001,AD-011,CMP-003,2026-01-01 21:44:37,Mobile
IMP-153650,FNP-U09441,AD-018,CMP-005,2026-01-20 21:28:40,Mobile
IMP-116542,FNP-U03244,AD-011,CMP-003,2026-02-17 00:47:36,Mobile
IMP-193912,FNP-U07341,AD-017,CMP-005,2026-03-19 00:04:18,Mobile
IMP-025006,FNP-U04996,AD-008,CMP-002,2026-02-25 09:57:39,Desktop
IMP-022585,FNP-U02834,AD-002,CMP-001,2026-01-16 06:23:11,Desktop
IMP-191878,FNP-U07702,AD-021,CMP-006,2026-02-15 18:46:17,Tablet
IMP-116344,FNP-U06242,AD-017,CMP-005,2026-03-15 13:28:27,Desktop
IMP-047660,FNP-U04941,AD-004,CMP-001,2026-03-27 09:52:23,Desktop
IMP-081116,FNP-U03934,AD-005,CMP-002,2026-01-11 09:39:46,Mobile
IMP-024019,FNP-U06108,AD-001,CMP-001,2026-01-07 06:37:00,Desktop
IMP-004883,FNP-U08771,AD-008,CMP-002,2026-03-27 18:10:39,Mobile
IMP-066614,FNP-U07630,AD-001,CMP-001,2026-03-03 06:10:22,Mobile
IMP-152051,FNP-U02350,AD-018,CMP-005,2026-03-09 06:36:38,Mobile
IMP-183815,FNP-U06134,AD-003,CMP-001,2026-01-18 09:18:44,Desktop
IMP-045454,FNP-U07032,AD-002,CMP-001,2026-02-09 09:56:16,Mobile
IMP-090397,FNP-U08416,AD-010,CMP-003,2026-01-30 21:50:20,Mobile
IMP-005774,FNP-U07600,AD-010,CMP-003,2026-03-09 21:01:43,Mobile
IMP-199093,FNP-U05089,AD-011,CMP-003,2026-03-22 13:44:12,Mobile
IMP-124339,FNP-U00961,AD-011,CMP-003,2026-02-14 13:46:44,Tablet
IMP-153006,FNP-U02624,AD-006,CMP-002,2026-01-10 13:35:22,Desktop
IMP-060835,FNP-U08325,AD-014,CMP-004,2026-02-02 21:14:04,Mobile
IMP-182414,FNP-U00940,AD-021,CMP-006,2026-03-14 18:10:57,Mobile
IMP-133377,FNP-U07421,AD-007,CMP-002,2026-03-24 06:14:20,Mobile
IMP-186485,FNP-U02990,AD-010,CMP-003,2026-01-31 13:25:57,Mobile
IMP-096909,FNP-U02936,AD-009,CMP-003,2026-02-02 13:38:02,Mobile
IMP-131240,FNP-U08842,AD-007,CMP-002,2026-03-09 18:42:52,Mobile
IMP-080891,FNP-U00544,AD-013,CMP-004,2026-01-13 09:58:48,Mobile
IMP-075496,FNP-U04485,AD-015,CMP-004,2026-02-14 13:20:29,Mobile
IMP-005620,FNP-U01005,AD-020,CMP-005,2026-03-16 18:34:54,Mobile
IMP-049245,FNP-U08174,AD-005,CMP-002,2026-03-23 09:49:15,Desktop
IMP-113345,FNP-U06505,AD-021,CMP-006,2026-03-24 18:48:48,Desktop
IMP-159879,FNP-U03394,AD-010,CMP-003,2026-02-16 09:25:12,Desktop
IMP-151475,FNP-U08892,AD-009,CMP-003,2026-01-02 06:34:16,Desktop
IMP-077405,FNP-U03037,AD-002,CMP-001,2026-03-21 21:21:57,Desktop
IMP-162217,FNP-U02405,AD-013,CMP-004,2026-02-28 06:00:57,Mobile
IMP-161228,FNP-U02950,AD-013,CMP-004,2026-03-18 09:33:19,Desktop
IMP-060122,FNP-U04410,AD-015,CMP-004,2026-02-17 13:52:32,Mobile
IMP-081171,FNP-U03859,AD-008,CMP-002,2026-03-12 13:15:25,Mobile
IMP-007014,FNP-U03613,AD-022,CMP-006,2026-02-27 09:00:58,Mobile
IMP-138850,FNP-U09717,AD-003,CMP-001,2026-01-11 13:21:25,Mobile
IMP-088317,FNP-U00693,AD-001,CMP-001,2026-03-25 13:54:42,Mobile
IMP-190250,FNP-U08226,AD-021,CMP-006,2026-01-16 06:44:04,Mobile
IMP-180926,FNP-U01081,AD-019,CMP-005,2026-02-11 06:19:32,Mobile
IMP-089792,FNP-U04104,AD-004,CMP-001,2026-01-24 09:56:33,Mobile
IMP-032887,FNP-U01893,AD-021,CMP-006,2026-03-12 13:57:44,Mobile
IMP-148827,FNP-U04405,AD-004,CMP-001,2026-02-23 06:22:16,Mobile
IMP-006028,FNP-U09289,AD-018,CMP-005,2026-02-25 18:41:53,Desktop
IMP-122795,FNP-U07226,AD-013,CMP-004,2026-02-17 06:29:39,Mobile
IMP-040648,FNP-U07026,AD-002,CMP-001,2026-03-21 00:06:43,Mobile
IMP-162922,FNP-U06156,AD-021,CMP-006,2026-03-07 09:42:38,Desktop
IMP-056151,FNP-U04283,AD-012,CMP-003,2026-02-15 09:26:41,Mobile
IMP-151025,FNP-U09473,AD-017,CMP-005,2026-02-18 13:07:23,Desktop
IMP-128601,FNP-U05264,AD-010,CMP-003,2026-03-29 09:01:33,Mobile
IMP-039908,FNP-U05841,AD-010,CMP-003,2026-01-12 21:41:31,Mobile
IMP-140114,FNP-U04598,AD-002,CMP-001,2026-02-10 13:47:10,Mobile
IMP-197691,FNP-U05330,AD-001,CMP-001,2026-01-18 18:53:26,Desktop
IMP-094985,FNP-U00043,AD-014,CMP-004,2026-01-15 09:03:59,Mobile
IMP-020707,FNP-U07222,AD-002,CMP-001,2026-02-07 13:42:22,Mobile
