engagement_id,impression_id,user_id,ad_id,campaign_id,engagement_type,time_spent_seconds,scroll_depth_percent,interaction_count,engagement_timestamp
ENG-080485,IMP-187678,FNP-U00005,AD-004,CMP-001,hover,10,10,1,2026-02-27 13:16:51
ENG-054024,IMP-012199,FNP-U00005,AD-017,CMP-005,video_watch,152,73,2,2026-03-02 19:00:41
ENG-062053,IMP-120852,FNP-U00005,AD-017,CMP-005,scroll,95,100,3,2026-03-03 14:00:01
ENG-060681,IMP-118169,FNP-U00005,AD-012,CMP-003,scroll,24,86,1,2026-03-11 13:38:59
ENG-032462,IMP-187503,FNP-U00005,AD-014,CMP-004,click,7,46,1,2026-03-12 13:10:15
ENG-021185,IMP-099735,FNP-U00005,AD-013,CMP-004,click,3,27,1,2026-03-23 00:43:14
ENG-098573,IMP-133363,FNP-U00005,AD-001,CMP-001,scroll,109,95,2,2026-03-27 21:49:39
ENG-078326,IMP-112192,FNP-U00005,AD-009,CMP-003,hover,8,4,2,2026-03-29 18:43:17
ENG-078000,IMP-103247,FNP-U00006,AD-002,CMP-001,scroll,98,71,2,2026-01-11 21:09:42
ENG-025095,IMP-106127,FNP-U00006,AD-015,CMP-004,click,2,51,1,2026-01-31 21:17:35
ENG-042510,IMP-197882,FNP-U00006,AD-003,CMP-001,scroll,91,82,3,2026-02-01 21:27:44
ENG-088261,IMP-088129,FNP-U00006,AD-004,CMP-001,hover,2,13,1,2026-02-13 18:19:27
ENG-050068,IMP-157482,FNP-U00006,AD-019,CMP-005,click,3,25,1,2026-02-28 00:07:00
ENG-015025,IMP-106069,FNP-U00006,AD-006,CMP-002,video_watch,125,42,2,2026-03-14 21:34:34
ENG-043122,IMP-035231,FNP-U00006,AD-001,CMP-001,video_watch,196,70,1,2026-03-19 13:21:17
ENG-055586,IMP-005428,FNP-U00006,AD-002,CMP-001,scroll,66,78,3,2026-03-20 18:10:08
ENG-086388,IMP-038677,FNP-U00006,AD-016,CMP-004,hover,13,6,1,2026-03-28 09:25:30
ENG-043506,IMP-102481,FNP-U00006,AD-010,CMP-003,click,6,46,1,2026-03-29 19:04:20
ENG-053834,IMP-078670,FNP-U00007,AD-010,CMP-003,scroll,21,72,2,2026-01-02 21:15:47
ENG-029772,IMP-011169,FNP-U00007,AD-017,CMP-005,scroll,86,94,3,2026-01-03 09:12:44
ENG-073579,IMP-108107,FNP-U00007,AD-014,CMP-004,hover,3,2,1,2026-01-27 21:39:55
ENG-000067,IMP-171281,FNP-U00007,AD-012,CMP-003,click,8,24,1,2026-02-23 18:34:01
ENG-055702,IMP-173915,FNP-U00007,AD-008,CMP-002,scroll,40,42,2,2026-03-05 06:23:22
ENG-040128,IMP-030832,FNP-U00007,AD-004,CMP-001,scroll,68,89,1,2026-03-15 10:04:37
ENG-098273,IMP-148084,FNP-U00007,AD-007,CMP-002,hover,4,17,1,2026-03-20 13:21:16
ENG-054634,IMP-061740,FNP-U00007,AD-018,CMP-005,scroll,16,64,1,2026-03-27 06:57:54
ENG-008167,IMP-027595,FNP-U00008,AD-013,CMP-004,hover,5,6,1,2026-01-10 13:23:58
ENG-075877,IMP-176343,FNP-U00008,AD-001,CMP-001,scroll,61,85,2,2026-01-17 09:47:24
ENG-004083,IMP-185138,FNP-U00008,AD-012,CMP-003,click,8,39,1,2026-01-27 18:44:19
ENG-093924,IMP-065150,FNP-U00008,AD-001,CMP-001,scroll,109,68,2,2026-02-13 06:14:48
ENG-092435,IMP-138716,FNP-U00008,AD-005,CMP-002,scroll,46,87,3,2026-02-14 06:42:55
ENG-062757,IMP-108489,FNP-U00008,AD-011,CMP-003,video_watch,198,33,2,2026-02-15 09:23:07
ENG-007246,IMP-132255,FNP-U00008,AD-009,CMP-003,click,10,39,1,2026-02-28 18:03:06
ENG-099986,IMP-120364,FNP-U00008,AD-016,CMP-004,click,9,59,1,2026-03-01 13:59:57
ENG-025368,IMP-055267,FNP-U00008,AD-017,CMP-005,click,7,54,1,2026-03-22 18:34:05
ENG-038161,IMP-095692,FNP-U00008,AD-003,CMP-001,scroll,24,86,3,2026-03-23 13:10:22
ENG-014306,IMP-095433,FNP-U00009,AD-012,CMP-003,scroll,38,96,2,2026-01-01 09:12:46
ENG-056429,IMP-013349,FNP-U00009,AD-017,CMP-005,video_watch,221,22,2,2026-01-03 06:53:57
ENG-006201,IMP-045093,FNP-U00009,AD-017,CMP-005,video_watch,46,73,2,2026-01-20 18:45:00
ENG-074460,IMP-172114,FNP-U00009,AD-019,CMP-005,video_watch,167,22,1,2026-02-01 13:47:09
ENG-058585,IMP-102884,FNP-U00009,AD-008,CMP-002,hover,7,2,1,2026-02-15 09:00:15
ENG-057555,IMP-184276,FNP-U00009,AD-004,CMP-001,scroll,74,42,2,2026-02-27 18:37:47
ENG-035413,IMP-163417,FNP-U00009,AD-009,CMP-003,hover,3,3,1,2026-03-08 21:34:48
ENG-062460,IMP-045658,FNP-U00009,AD-005,CMP-002,hover,6,8,1,2026-03-10 18:53:30
ENG-027571,IMP-085203,FNP-U00009,AD-001,CMP-001,video_watch,215,49,2,2026-03-13 21:23:14
ENG-034264,IMP-188270,FNP-U00009,AD-006,CMP-002,click,8,36,1,2026-03-16 13:57:24
ENG-072144,IMP-181023,FNP-U00009,AD-019,CMP-005,click,7,14,1,2026-03-25 18:52:00
ENG-070246,IMP-011860,FNP-U00009,AD-022,CMP-006,scroll,81,77,3,2026-03-30 18:28:30
ENG-019702,IMP-164268,FNP-U00010,AD-006,CMP-002,video_watch,137,79,2,2026-01-08 21:57:51
ENG-003166,IMP-044415,FNP-U00010,AD-012,CMP-003,hover,3,19,2,2026-01-09 13:56:38
ENG-018516,IMP-044165,FNP-U00010,AD-007,CMP-002,click,8,28,1,2026-01-09 18:50:39
ENG-018137,IMP-053892,FNP-U00010,AD-015,CMP-004,hover,2,4,1,2026-01-23 13:57:49
ENG-045327,IMP-175835,FNP-U00010,AD-004,CMP-001,click,3,50,1,2026-01-31 21:25:39
ENG-082333,IMP-078572,FNP-U00010,AD-009,CMP-003,hover,20,18,1,2026-02-01 21:47:52
ENG-029731,IMP-058301,FNP-U00010,AD-002,CMP-001,scroll,82,78,2,2026-02-08 13:04:28
ENG-042958,IMP-099517,FNP-U00010,AD-006,CMP-002,video_watch,245,51,2,2026-02-11 14:02:48
ENG-059325,IMP-105260,FNP-U00010,AD-018,CMP-005,click,2,28,1,2026-02-12 13:22:47
ENG-015346,IMP-028887,FNP-U00010,AD-007,CMP-002,click,2,41,1,2026-02-15 18:37:19
ENG-096285,IMP-097322,FNP-U00010,AD-008,CMP-002,scroll,19,71,3,2026-02-16 13:27:42
ENG-099618,IMP-015360,FNP-U00010,AD-021,CMP-006,hover,7,15,2,2026-02-28 18:29:16
ENG-064043,IMP-122208,FNP-U00010,AD-008,CMP-002,hover,13,15,2,2026-03-05 13:07:14
ENG-019720,IMP-027810,FNP-U00010,AD-019,CMP-005,click,7,45,1,2026-03-20 18:39:50
ENG-099426,IMP-072721,FNP-U00011,AD-019,CMP-005,video_watch,158,63,1,2026-01-17 09:57:29
ENG-088119,IMP-132098,FNP-U00011,AD-011,CMP-003,video_watch,279,84,2,2026-01-28 18:50:50
ENG-069119,IMP-087672,FNP-U00011,AD-012,CMP-003,click,1,18,1,2026-01-31 09:51:31
ENG-083870,IMP-085625,FNP-U00011,AD-001,CMP-001,video_watch,48,22,1,2026-02-13 18:56:08
ENG-042337,IMP-137592,FNP-U00011,AD-022,CMP-006,scroll,27,73,1,2026-02-15 18:20:19
ENG-045041,IMP-098395,FNP-U00011,AD-001,CMP-001,scroll,30,42,1,2026-02-16 21:21:32
ENG-003140,IMP-014881,FNP-U00011,AD-018,CMP-005,video_watch,46,64,1,2026-02-24 19:02:51
ENG-092109,IMP-105531,FNP-U00012,AD-004,CMP-001,scroll,45,66,3,2026-01-04 18:07:51
ENG-030902,IMP-094177,FNP-U00012,AD-012,CMP-003,click,5,42,1,2026-01-06 09:30:25
ENG-017385,IMP-108996,FNP-U00012,AD-022,CMP-006,video_watch,243,72,1,2026-01-08 09:19:44
ENG-039704,IMP-058777,FNP-U00012,AD-021,CMP-006,scroll,18,89,2,2026-01-09 06:30:39
ENG-052375,IMP-051235,FNP-U00012,AD-013,CMP-004,click,7,35,1,2026-01-22 18:57:35
ENG-083463,IMP-115634,FNP-U00012,AD-006,CMP-002,click,4,38,1,2026-01-29 21:46:11
ENG-074072,IMP-087680,FNP-U00012,AD-021,CMP-006,scroll,42,56,1,2026-02-01 10:00:27
ENG-022987,IMP-123495,FNP-U00012,AD-017,CMP-005,click,6,41,1,2026-02-05 09:35:02
ENG-047917,IMP-095954,FNP-U00012,AD-010,CMP-003,click,4,47,1,2026-02-16 13:31:39
ENG-041323,IMP-082788,FNP-U00012,AD-006,CMP-002,scroll,97,98,3,2026-02-20 13:40:34
ENG-071646,IMP-180168,FNP-U00012,AD-011,CMP-003,video_watch,284,51,2,2026-02-23 13:52:00
ENG-032916,IMP-132254,FNP-U00012,AD-012,CMP-003,click,10,53,1,2026-03-13 06:59:17
ENG-074173,IMP-155345,FNP-U00013,AD-007,CMP-002,click,6,22,1,2026-01-01 09:04:25
ENG-097934,IMP-139356,FNP-U00013,AD-002,CMP-001,hover,4,1,1,2026-01-12 19:01:57
ENG-070540,IMP-195870,FNP-U00013,AD-002,CMP-001,hover,5,6,2,2026-01-13 06:00:39
ENG-040504,IMP-042257,FNP-U00013,AD-005,CMP-002,click,9,23,1,2026-01-15 22:03:10
ENG-045625,IMP-164006,FNP-U00013,AD-012,CMP-003,click,9,25,1,2026-01-16 18:41:19
ENG-046375,IMP-165615,FNP-U00013,AD-011,CMP-003,click,9,37,1,2026-01-17 06:55:27
ENG-026390,IMP-007889,FNP-U00013,AD-014,CMP-004,click,8,16,1,2026-01-26 13:37:00
ENG-037804,IMP-064753,FNP-U00013,AD-022,CMP-006,video_watch,164,87,2,2026-01-27 06:23:42
ENG-097087,IMP-095857,FNP-U00013,AD-014,CMP-004,click,1,31,1,2026-02-02 18:21:13
ENG-061902,IMP-088493,FNP-U00013,AD-019,CMP-005,video_watch,135,80,2,2026-02-06 09:51:47
ENG-084991,IMP-089701,FNP-U00013,AD-001,CMP-001,scroll,119,89,2,2026-02-07 10:08:18
ENG-064191,IMP-008684,FNP-U00013,AD-021,CMP-006,hover,17,18,2,2026-02-14 09:19:30
ENG-003955,IMP-073607,FNP-U00013,AD-003,CMP-001,hover,20,16,1,2026-02-23 06:37:30
ENG-077394,IMP-170181,FNP-U00013,AD-006,CMP-002,video_watch,208,76,1,2026-03-14 06:53:05
ENG-070090,IMP-160548,FNP-U00013,AD-014,CMP-004,click,6,11,1,2026-03-17 09:53:55
ENG-051506,IMP-105247,FNP-U00013,AD-013,CMP-004,hover,16,8,1,2026-03-22 18:42:40
ENG-077102,IMP-016708,FNP-U00014,AD-006,CMP-002,click,5,14,1,2026-01-07 13:30:08
ENG-061616,IMP-035323,FNP-U00014,AD-006,CMP-002,click,1,29,1,2026-01-09 06:46:31
ENG-050872,IMP-139953,FNP-U00014,AD-009,CMP-003,scroll,81,47,1,2026-01-10 18:25:58
ENG-095776,IMP-048874,FNP-U00014,AD-008,CMP-002,scroll,72,55,1,2026-01-29 18:59:49
ENG-041658,IMP-158356,FNP-U00014,AD-009,CMP-003,scroll,64,45,1,2026-02-20 09:25:54
ENG-029488,IMP-056307,FNP-U00014,AD-003,CMP-001,scroll,81,80,1,2026-03-07 09:16:14
ENG-011562,IMP-029255,FNP-U00014,AD-002,CMP-001,hover,17,6,2,2026-03-07 09:17:59
ENG-035758,IMP-109599,FNP-U00014,AD-015,CMP-004,click,9,10,1,2026-03-24 18:54:42
ENG-026069,IMP-131448,FNP-U00015,AD-004,CMP-001,scroll,90,99,3,2026-01-05 13:56:53
ENG-069617,IMP-055284,FNP-U00015,AD-015,CMP-004,click,5,58,1,2026-01-19 00:16:09
ENG-081190,IMP-123775,FNP-U00015,AD-009,CMP-003,click,3,12,1,2026-01-24 13:33:22
ENG-091103,IMP-019471,FNP-U00015,AD-001,CMP-001,scroll,99,66,2,2026-01-27 18:54:39
ENG-069050,IMP-160094,FNP-U00015,AD-013,CMP-004,click,5,34,1,2026-01-30 06:42:09
ENG-083014,IMP-183366,FNP-U00015,AD-001,CMP-001,video_watch,238,62,1,2026-02-28 09:48:54
ENG-022645,IMP-150018,FNP-U00015,AD-021,CMP-006,scroll,26,53,1,2026-03-07 00:02:41
ENG-079106,IMP-090059,FNP-U00015,AD-021,CMP-006,click,2,59,1,2026-03-08 21:16:19
ENG-025874,IMP-142795,FNP-U00015,AD-006,CMP-002,scroll,21,84,2,2026-03-19 09:34:24
ENG-018610,IMP-060656,FNP-U00015,AD-008,CMP-002,scroll,62,82,3,2026-03-21 18:46:08
ENG-036416,IMP-061727,FNP-U00016,AD-010,CMP-003,click,10,16,1,2026-01-06 21:43:07
ENG-033840,IMP-098030,FNP-U00016,AD-015,CMP-004,click,2,28,1,2026-02-17 18:52:38
ENG-058967,IMP-075564,FNP-U00016,AD-004,CMP-001,hover,19,4,2,2026-03-23 07:00:44
ENG-040037,IMP-126910,FNP-U00016,AD-005,CMP-002,scroll,34,85,3,2026-03-29 21:39:24
ENG-057305,IMP-046617,FNP-U00017,AD-004,CMP-001,click,4,44,1,2026-01-03 21:09:51
ENG-030809,IMP-090405,FNP-U00017,AD-014,CMP-004,hover,8,10,2,2026-01-18 21:21:20
ENG-056245,IMP-019780,FNP-U00017,AD-003,CMP-001,hover,5,15,1,2026-02-01 09:53:20
ENG-053210,IMP-139132,FNP-U00017,AD-008,CMP-002,scroll,33,40,1,2026-02-20 18:54:47
ENG-023840,IMP-105656,FNP-U00017,AD-007,CMP-002,click,4,42,1,2026-02-21 09:32:12
ENG-006245,IMP-067914,FNP-U00017,AD-008,CMP-002,scroll,88,61,2,2026-03-21 13:55:20
ENG-067713,IMP-099807,FNP-U00017,AD-015,CMP-004,hover,10,15,2,2026-03-25 00:10:23
ENG-018960,IMP-142894,FNP-U00017,AD-004,CMP-001,scroll,79,68,2,2026-03-25 09:47:56
ENG-065353,IMP-133594,FNP-U00017,AD-016,CMP-004,hover,18,8,2,2026-03-28 18:30:32
ENG-012200,IMP-107603,FNP-U00017,AD-021,CMP-006,click,1,52,1,2026-03-31 09:34:00
ENG-033426,IMP-156575,FNP-U00018,AD-021,CMP-006,hover,20,12,1,2026-01-15 06:12:13
ENG-087697,IMP-079621,FNP-U00018,AD-004,CMP-001,scroll,41,64,1,2026-01-29 21:18:49
ENG-074820,IMP-037381,FNP-U00018,AD-011,CMP-003,click,2,54,1,2026-02-06 21:52:23
ENG-007267,IMP-157480,FNP-U00018,AD-021,CMP-006,hover,19,16,1,2026-02-12 21:21:12
ENG-084212,IMP-187562,FNP-U00018,AD-014,CMP-004,click,2,14,1,2026-02-13 09:15:18
ENG-035574,IMP-079325,FNP-U00018,AD-015,CMP-004,click,1,24,1,2026-02-23 09:39:35
ENG-024728,IMP-127225,FNP-U00018,AD-010,CMP-003,scroll,88,93,3,2026-02-28 09:17:33
ENG-092931,IMP-030632,FNP-U00018,AD-018,CMP-005,click,1,34,1,2026-03-09 09:33:38
ENG-036159,IMP-031048,FNP-U00018,AD-006,CMP-002,video_watch,167,76,1,2026-03-09 22:11:01
ENG-034075,IMP-006814,FNP-U00019,AD-002,CMP-001,hover,16,17,1,2026-01-04 13:22:58
ENG-005481,IMP-082146,FNP-U00019,AD-006,CMP-002,scroll,72,60,1,2026-01-06 18:24:24
ENG-023846,IMP-136031,FNP-U00019,AD-015,CMP-004,hover,3,15,2,2026-01-11 18:18:04
ENG-003193,IMP-044452,FNP-U00019,AD-004,CMP-001,click,4,31,1,2026-01-15 18:25:41
ENG-099476,IMP-013984,FNP-U00019,AD-001,CMP-001,scroll,53,85,1,2026-01-18 06:06:44
ENG-071478,IMP-168120,FNP-U00019,AD-021,CMP-006,click,7,14,1,2026-01-25 00:35:03
ENG-017109,IMP-112682,FNP-U00019,AD-005,CMP-002,click,7,25,1,2026-01-27 21:29:43
ENG-088542,IMP-165034,FNP-U00019,AD-017,CMP-005,click,1,54,1,2026-01-28 18:38:57
ENG-046930,IMP-197217,FNP-U00019,AD-009,CMP-003,click,9,54,1,2026-02-12 06:30:49
ENG-035916,IMP-178741,FNP-U00019,AD-014,CMP-004,click,7,15,1,2026-02-23 13:21:10
ENG-097924,IMP-010592,FNP-U00019,AD-017,CMP-005,video_watch,150,76,2,2026-02-28 13:28:59
ENG-049259,IMP-138750,FNP-U00019,AD-002,CMP-001,click,8,34,1,2026-02-28 18:19:26
ENG-058150,IMP-182401,FNP-U00019,AD-015,CMP-004,click,10,30,1,2026-03-02 09:58:16
ENG-049095,IMP-065753,FNP-U00019,AD-021,CMP-006,click,5,12,1,2026-03-09 21:16:28
ENG-020188,IMP-115891,FNP-U00019,AD-008,CMP-002,hover,12,9,1,2026-03-23 18:49:48
ENG-069653,IMP-121697,FNP-U00019,AD-001,CMP-001,click,5,40,1,2026-03-27 19:01:55
ENG-038103,IMP-095827,FNP-U00020,AD-015,CMP-004,click,2,49,1,2026-02-05 09:28:04
ENG-053284,IMP-066301,FNP-U00020,AD-006,CMP-002,click,1,56,1,2026-02-26 13:55:15
ENG-063756,IMP-077327,FNP-U00020,AD-022,CMP-006,click,5,57,1,2026-03-05 13:19:00
ENG-014223,IMP-074010,FNP-U00020,AD-021,CMP-006,scroll,109,69,1,2026-03-06 13:21:31
ENG-046044,IMP-173070,FNP-U00020,AD-008,CMP-002,scroll,62,88,3,2026-03-15 21:38:19
ENG-077849,IMP-049359,FNP-U00020,AD-021,CMP-006,scroll,115,43,1,2026-03-19 21:21:26
ENG-002339,IMP-158732,FNP-U00021,AD-010,CMP-003,hover,5,3,1,2026-01-09 06:39:42
ENG-012304,IMP-042683,FNP-U00021,AD-017,CMP-005,scroll,45,100,2,2026-01-10 18:01:55
ENG-088147,IMP-198342,FNP-U00021,AD-015,CMP-004,click,1,32,1,2026-01-17 09:20:20
ENG-057788,IMP-054177,FNP-U00021,AD-017,CMP-005,click,2,51,1,2026-01-18 18:03:43
ENG-062840,IMP-179827,FNP-U00021,AD-005,CMP-002,scroll,25,96,1,2026-01-31 00:59:52
ENG-043998,IMP-168401,FNP-U00021,AD-007,CMP-002,click,3,42,1,2026-03-03 13:50:28
ENG-080687,IMP-130763,FNP-U00021,AD-020,CMP-005,hover,15,8,1,2026-03-04 18:12:30
ENG-040421,IMP-163879,FNP-U00021,AD-001,CMP-001,scroll,24,59,1,2026-03-20 09:21:00
ENG-036119,IMP-005784,FNP-U00021,AD-010,CMP-003,click,3,14,1,2026-03-22 18:07:27
ENG-028649,IMP-020698,FNP-U00021,AD-003,CMP-001,click,6,12,1,2026-03-27 06:40:28
ENG-043628,IMP-149750,FNP-U00022,AD-008,CMP-002,scroll,55,59,2,2026-01-17 13:22:35
ENG-033806,IMP-038813,FNP-U00022,AD-001,CMP-001,scroll,68,95,3,2026-01-17 21:36:13
ENG-033028,IMP-186510,FNP-U00022,AD-006,CMP-002,click,4,37,1,2026-02-25 21:26:07
ENG-070676,IMP-160156,FNP-U00022,AD-005,CMP-002,click,3,56,1,2026-02-27 13:56:20
ENG-031298,IMP-087456,FNP-U00022,AD-021,CMP-006,click,5,44,1,2026-03-12 13:13:49
ENG-035523,IMP-071301,FNP-U00022,AD-017,CMP-005,scroll,56,44,3,2026-03-13 21:13:37
ENG-052449,IMP-052839,FNP-U00022,AD-008,CMP-002,click,5,11,1,2026-03-24 18:48:54
ENG-045418,IMP-124505,FNP-U00023,AD-004,CMP-001,click,9,37,1,2026-01-08 13:40:31
ENG-032157,IMP-044514,FNP-U00023,AD-005,CMP-002,scroll,68,56,2,2026-01-08 18:39:53
ENG-019760,IMP-007179,FNP-U00023,AD-019,CMP-005,scroll,51,84,1,2026-01-22 13:45:39
ENG-007786,IMP-111601,FNP-U00023,AD-008,CMP-002,hover,19,7,1,2026-01-27 13:59:38
ENG-080504,IMP-130469,FNP-U00023,AD-013,CMP-004,click,10,34,1,2026-03-04 13:31:47
ENG-000279,IMP-061704,FNP-U00023,AD-008,CMP-002,click,10,17,1,2026-03-19 13:26:05
ENG-001213,IMP-145773,FNP-U00023,AD-018,CMP-005,scroll,67,87,1,2026-03-23 13:35:46
ENG-023539,IMP-159229,FNP-U00024,AD-018,CMP-005,scroll,85,57,1,2026-01-10 06:29:35
ENG-043933,IMP-125757,FNP-U00024,AD-001,CMP-001,video_watch,51,23,2,2026-01-11 01:00:24
ENG-009544,IMP-049001,FNP-U00024,AD-001,CMP-001,video_watch,277,41,1,2026-01-14 13:47:06
ENG-025558,IMP-026608,FNP-U00024,AD-004,CMP-001,hover,13,17,1,2026-01-23 09:46:23
ENG-065398,IMP-140644,FNP-U00024,AD-002,CMP-001,click,1,54,1,2026-01-30 21:00:32
ENG-077357,IMP-022136,FNP-U00024,AD-002,CMP-001,click,10,20,1,2026-02-01 18:24:52
ENG-046182,IMP-170165,FNP-U00024,AD-010,CMP-003,click,6,53,1,2026-02-11 19:00:15
ENG-039878,IMP-004761,FNP-U00024,AD-001,CMP-001,video_watch,297,36,1,2026-03-04 06:24:43
ENG-022656,IMP-075694,FNP-U00024,AD-007,CMP-002,click,8,43,1,2026-03-12 22:00:41
ENG-027248,IMP-085493,FNP-U00024,AD-016,CMP-004,hover,19,11,1,2026-03-13 18:57:02
ENG-096741,IMP-197802,FNP-U00024,AD-002,CMP-001,hover,17,19,2,2026-03-24 14:01:04
ENG-052019,IMP-134933,FNP-U00025,AD-008,CMP-002,scroll,52,52,1,2026-01-06 09:48:21
ENG-017449,IMP-009079,FNP-U00025,AD-008,CMP-002,scroll,119,59,1,2026-02-07 22:00:30
ENG-020336,IMP-002016,FNP-U00025,AD-009,CMP-003,hover,3,12,1,2026-02-15 18:02:31
ENG-081854,IMP-072950,FNP-U00025,AD-015,CMP-004,hover,12,6,1,2026-02-26 18:44:47
ENG-001084,IMP-132601,FNP-U00025,AD-004,CMP-001,click,1,39,1,2026-02-28 21:34:32
ENG-090553,IMP-100858,FNP-U00025,AD-013,CMP-004,hover,9,3,1,2026-03-03 13:40:02
ENG-058679,IMP-169570,FNP-U00025,AD-021,CMP-006,scroll,12,90,1,2026-03-24 19:07:02
ENG-018342,IMP-109124,FNP-U00026,AD-002,CMP-001,hover,19,2,1,2026-01-04 21:04:01
ENG-029056,IMP-158343,FNP-U00026,AD-011,CMP-003,scroll,104,69,1,2026-01-07 13:34:29
ENG-007037,IMP-198300,FNP-U00026,AD-006,CMP-002,video_watch,83,53,2,2026-01-10 09:17:34
ENG-032831,IMP-145464,FNP-U00026,AD-002,CMP-001,scroll,36,71,2,2026-01-17 21:48:55
ENG-057929,IMP-100360,FNP-U00026,AD-003,CMP-001,scroll,54,52,2,2026-02-09 00:44:49
ENG-018528,IMP-163203,FNP-U00026,AD-012,CMP-003,hover,14,5,2,2026-02-26 18:31:21
ENG-097705,IMP-016103,FNP-U00026,AD-015,CMP-004,click,4,30,1,2026-02-28 18:56:58
ENG-094271,IMP-056683,FNP-U00026,AD-019,CMP-005,video_watch,247,89,2,2026-03-02 09:27:22
ENG-087556,IMP-000300,FNP-U00026,AD-006,CMP-002,click,4,21,1,2026-03-19 13:54:20
