conversion_id,click_id,user_id,ad_id,campaign_id,conversion_type,conversion_value,conversion_time
CONV-0145,CLK-004706,FNP-U02508,AD-002,CMP-001,Deposit,40000,2026-02-06 11:51:43
CONV-0146,CLK-000309,FNP-U04283,AD-012,CMP-003,Signup,0,2026-02-15 10:48:10
CONV-0147,CLK-003370,FNP-U02363,AD-002,CMP-001,Signup,0,2026-01-15 13:50:50
CONV-0148,CLK-001798,FNP-U06008,AD-017,CMP-005,Deposit,15000,2026-02-21 14:07:41
CONV-0149,CLK-003925,FNP-U02458,AD-013,CMP-004,Deposit,25000,2026-02-06 18:46:07
CONV-0150,CLK-004570,FNP-U09331,AD-017,CMP-005,Deposit,40000,2026-03-26 07:37:19
CONV-0151,CLK-001991,FNP-U01895,AD-019,CMP-005,Deposit,100000,2026-02-28 11:42:59
CONV-0152,CLK-004617,FNP-U07603,AD-006,CMP-002,Transfer,10000,2026-01-15 10:17:05
CONV-0153,CLK-002461,FNP-U02533,AD-004,CMP-001,Signup,0,2026-02-26 14:14:06
CONV-0154,CLK-002456,FNP-U03935,AD-003,CMP-001,Deposit,50000,2026-02-17 14:40:49
CONV-0155,CLK-000639,FNP-U08896,AD-012,CMP-003,Signup,0,2026-02-12 14:15:21
CONV-0156,CLK-002273,FNP-U07529,AD-008,CMP-002,Transfer,20000,2026-02-20 22:46:45
CONV-0157,CLK-004140,FNP-U04824,AD-017,CMP-005,Deposit,50000,2026-01-13 15:03:22
CONV-0158,CLK-000583,FNP-U03400,AD-013,CMP-004,Signup,0,2026-03-15 23:13:14
CONV-0159,CLK-002885,FNP-U05140,AD-001,CMP-001,Signup,0,2026-02-22 14:17:56
CONV-0160,CLK-003552,FNP-U01328,AD-010,CMP-003,Signup,0,2026-03-02 23:19:09
CONV-0161,CLK-003436,FNP-U02880,AD-010,CMP-003,Signup,0,2026-01-24 14:47:42
CONV-0162,CLK-002213,FNP-U05382,AD-017,CMP-005,Merchant,20000,2026-02-16 14:05:54
CONV-0163,CLK-005913,FNP-U09457,AD-001,CMP-001,Signup,0,2026-01-23 14:18:37
CONV-0164,CLK-004317,FNP-U08327,AD-021,CMP-006,Signup,0,2026-03-11 07:03:41
CONV-0165,CLK-002254,FNP-U05832,AD-005,CMP-002,Transfer,75000,2026-03-12 11:43:24
CONV-0166,CLK-000207,FNP-U08484,AD-002,CMP-001,Deposit,100000,2026-03-04 19:39:31
CONV-0167,CLK-000850,FNP-U08092,AD-011,CMP-003,Signup,0,2026-03-13 11:43:33
CONV-0168,CLK-005575,FNP-U05947,AD-010,CMP-003,Signup,0,2026-01-09 14:24:02
CONV-0169,CLK-000395,FNP-U05845,AD-008,CMP-002,Merchant,50000,2026-01-04 11:38:59
CONV-0170,CLK-005321,FNP-U06438,AD-012,CMP-003,Deposit,10000,2026-03-03 13:36:22
CONV-0171,CLK-001160,FNP-U07884,AD-002,CMP-001,Signup,0,2026-01-18 21:48:39
CONV-0172,CLK-005944,FNP-U09232,AD-015,CMP-004,Deposit,20000,2026-03-21 11:50:36
CONV-0173,CLK-002109,FNP-U09590,AD-008,CMP-002,Transfer,10000,2026-03-30 19:01:20
CONV-0174,CLK-004343,FNP-U08002,AD-021,CMP-006,Signup,0,2026-02-21 23:08:46
CONV-0175,CLK-002041,FNP-U05746,AD-012,CMP-003,Deposit,75000,2026-03-18 10:17:59
CONV-0176,CLK-004601,FNP-U03953,AD-020,CMP-005,Transfer,20000,2026-01-27 10:42:48
CONV-0177,CLK-001452,FNP-U06551,AD-001,CMP-001,Signup,0,2026-03-29 07:57:58
CONV-0178,CLK-002182,FNP-U07492,AD-010,CMP-003,Deposit,50000,2026-03-17 23:12:57
CONV-0179,CLK-003503,FNP-U00425,AD-004,CMP-001,Signup,0,2026-02-14 08:15:11
CONV-0180,CLK-000083,FNP-U04517,AD-017,CMP-005,Deposit,40000,2026-01-06 11:02:53
CONV-0181,CLK-000712,FNP-U08779,AD-006,CMP-002,Merchant,20000,2026-01-06 19:44:58
CONV-0182,CLK-004477,FNP-U08385,AD-001,CMP-001,Signup,0,2026-01-10 22:10:13
CONV-0183,CLK-000523,FNP-U00023,AD-008,CMP-002,Transfer,50000,2026-03-19 14:17:42
CONV-0184,CLK-001678,FNP-U01737,AD-014,CMP-004,Deposit,25000,2026-03-28 14:39:13
CONV-0185,CLK-003049,FNP-U06677,AD-019,CMP-005,Merchant,30000,2026-03-17 14:18:43
CONV-0186,CLK-004704,FNP-U04600,AD-019,CMP-005,Transfer,20000,2026-02-23 20:04:26
CONV-0187,CLK-001844,FNP-U06967,AD-002,CMP-001,Signup,0,2026-03-03 22:47:46
CONV-0188,CLK-004188,FNP-U05962,AD-021,CMP-006,Signup,0,2026-02-07 09:44:20
CONV-0189,CLK-005682,FNP-U08832,AD-022,CMP-006,Deposit,50000,2026-02-20 19:03:16
CONV-0190,CLK-005740,FNP-U06301,AD-006,CMP-002,Transfer,10000,2026-01-31 09:50:48
CONV-0191,CLK-000609,FNP-U02597,AD-006,CMP-002,Bills,2000,2026-01-31 15:40:28
CONV-0192,CLK-004879,FNP-U00638,AD-017,CMP-005,Deposit,30000,2026-03-16 15:30:30
CONV-0193,CLK-001360,FNP-U00657,AD-001,CMP-001,Signup,0,2026-03-19 08:14:45
CONV-0194,CLK-005426,FNP-U07648,AD-017,CMP-005,Deposit,20000,2026-03-14 11:02:51
CONV-0195,CLK-005245,FNP-U09245,AD-001,CMP-001,Deposit,5000,2026-01-09 14:14:03
CONV-0196,CLK-000601,FNP-U01328,AD-001,CMP-001,Signup,0,2026-03-18 00:53:09
CONV-0197,CLK-003244,FNP-U05276,AD-017,CMP-005,Deposit,15000,2026-02-28 11:38:48
CONV-0198,CLK-005754,FNP-U06789,AD-002,CMP-001,Signup,0,2026-01-07 22:46:47
CONV-0199,CLK-003029,FNP-U02773,AD-002,CMP-001,Deposit,10000,2026-03-04 14:14:05
CONV-0200,CLK-001227,FNP-U08170,AD-004,CMP-001,Deposit,75000,2026-02-08 22:58:16
CONV-0201,CLK-001580,FNP-U04099,AD-008,CMP-002,Deposit,20000,2026-03-04 10:14:05
CONV-0202,CLK-001162,FNP-U09688,AD-010,CMP-003,Signup,0,2026-03-15 11:35:52
CONV-0203,CLK-003608,FNP-U07014,AD-014,CMP-004,Signup,0,2026-01-03 10:29:49
CONV-0204,CLK-003331,FNP-U01203,AD-002,CMP-001,Signup,0,2026-02-16 09:59:10
CONV-0205,CLK-002680,FNP-U05478,AD-002,CMP-001,Signup,0,2026-03-26 14:09:49
CONV-0206,CLK-002229,FNP-U03504,AD-007,CMP-002,Transfer,200000,2026-03-14 18:54:00
CONV-0207,CLK-004545,FNP-U07835,AD-018,CMP-005,Merchant,15000,2026-01-22 15:03:18
CONV-0208,CLK-002811,FNP-U03345,AD-010,CMP-003,Signup,0,2026-01-26 10:39:12
CONV-0209,CLK-005275,FNP-U02728,AD-008,CMP-002,Transfer,100000,2026-03-31 20:26:32
CONV-0210,CLK-003858,FNP-U05898,AD-018,CMP-005,Signup,0,2026-02-19 15:22:50
CONV-0211,CLK-002024,FNP-U05904,AD-006,CMP-002,Transfer,200000,2026-01-03 15:20:34
CONV-0212,CLK-000104,FNP-U04068,AD-004,CMP-001,Signup,0,2026-03-24 18:40:39
CONV-0213,CLK-003794,FNP-U01790,AD-015,CMP-004,Transfer,100000,2026-02-16 19:45:20
CONV-0214,CLK-003485,FNP-U01510,AD-010,CMP-003,Signup,0,2026-03-01 10:32:20
CONV-0215,CLK-005834,FNP-U02960,AD-003,CMP-001,Signup,0,2026-02-24 22:28:00
CONV-0216,CLK-001791,FNP-U06381,AD-008,CMP-002,Deposit,40000,2026-02-05 09:52:46
CONV-0217,CLK-000742,FNP-U03614,AD-006,CMP-002,Merchant,5000,2026-01-19 10:08:06
CONV-0218,CLK-001335,FNP-U02927,AD-016,CMP-004,Deposit,25000,2026-01-12 22:55:38
CONV-0219,CLK-004076,FNP-U04588,AD-006,CMP-002,Transfer,10000,2026-03-03 14:10:24
CONV-0220,CLK-005997,FNP-U06378,AD-017,CMP-005,Transfer,20000,2026-01-03 19:51:58
CONV-0221,CLK-005805,FNP-U01745,AD-005,CMP-002,Transfer,20000,2026-03-07 18:27:16
CONV-0222,CLK-005484,FNP-U09581,AD-019,CMP-005,Deposit,75000,2026-03-20 22:39:12
CONV-0223,CLK-000782,FNP-U01004,AD-013,CMP-004,Deposit,20000,2026-01-28 19:06:24
CONV-0224,CLK-000558,FNP-U03774,AD-015,CMP-004,Deposit,20000,2026-03-02 07:44:02
CONV-0225,CLK-002383,FNP-U05836,AD-004,CMP-001,Deposit,100000,2026-03-13 14:52:01
CONV-0226,CLK-005857,FNP-U07948,AD-008,CMP-002,Transfer,50000,2026-03-14 22:05:26
CONV-0227,CLK-000149,FNP-U07449,AD-015,CMP-004,Bills,5000,2026-01-11 14:40:36
CONV-0228,CLK-005734,FNP-U04746,AD-015,CMP-004,Deposit,10000,2026-02-03 23:10:58
CONV-0229,CLK-004093,FNP-U03456,AD-006,CMP-002,Deposit,75000,2026-03-07 15:22:10
CONV-0230,CLK-002750,FNP-U00909,AD-018,CMP-005,Deposit,10000,2026-01-13 20:43:41
CONV-0231,CLK-003472,FNP-U09777,AD-003,CMP-001,Deposit,75000,2026-02-11 11:01:58
CONV-0232,CLK-004524,FNP-U04943,AD-014,CMP-004,Deposit,20000,2026-01-11 06:49:35
CONV-0233,CLK-005627,FNP-U06571,AD-008,CMP-002,Transfer,200000,2026-01-08 09:40:08
CONV-0234,CLK-001350,FNP-U06060,AD-017,CMP-005,Transfer,20000,2026-02-05 19:18:52
CONV-0235,CLK-000048,FNP-U03593,AD-004,CMP-001,Signup,0,2026-01-04 10:09:09
CONV-0236,CLK-004221,FNP-U02718,AD-012,CMP-003,Signup,0,2026-03-26 09:39:53
CONV-0237,CLK-001822,FNP-U06874,AD-012,CMP-003,Deposit,40000,2026-03-05 11:03:56
CONV-0238,CLK-004740,FNP-U07382,AD-017,CMP-005,Deposit,25000,2026-02-09 19:12:22
CONV-0239,CLK-004328,FNP-U03331,AD-011,CMP-003,Deposit,25000,2026-01-03 22:12:40
CONV-0240,CLK-004124,FNP-U03723,AD-008,CMP-002,Deposit,20000,2026-03-20 20:19:49
CONV-0241,CLK-003649,FNP-U09168,AD-007,CMP-002,Deposit,20000,2026-01-03 13:29:00
CONV-0242,CLK-000268,FNP-U06108,AD-001,CMP-001,Deposit,5000,2026-01-07 06:41:50
CONV-0243,CLK-002074,FNP-U00541,AD-021,CMP-006,Deposit,25000,2026-02-13 09:43:26
CONV-0244,CLK-003348,FNP-U00921,AD-004,CMP-001,Signup,0,2026-02-20 22:32:59
CONV-0245,CLK-003703,FNP-U02286,AD-024,CMP-006,Bills,15000,2026-02-16 18:53:00
CONV-0246,CLK-003665,FNP-U02821,AD-013,CMP-004,Bills,5000,2026-02-04 10:52:55
CONV-0247,CLK-004518,FNP-U07197,AD-005,CMP-002,Transfer,10000,2026-03-09 19:59:23
CONV-0248,CLK-003786,FNP-U07261,AD-009,CMP-003,Deposit,30000,2026-03-02 10:28:02
CONV-0249,CLK-000625,FNP-U00188,AD-002,CMP-001,Deposit,100000,2026-02-14 11:13:12
CONV-0250,CLK-005017,FNP-U01372,AD-005,CMP-002,Transfer,10000,2026-02-09 11:25:39
CONV-0251,CLK-005363,FNP-U09576,AD-008,CMP-002,Merchant,15000,2026-01-09 15:45:06
CONV-0252,CLK-005372,FNP-U02925,AD-003,CMP-001,Signup,0,2026-02-18 01:22:06
CONV-0253,CLK-000287,FNP-U01005,AD-020,CMP-005,Deposit,100000,2026-03-16 19:16:35
CONV-0254,CLK-001013,FNP-U00143,AD-006,CMP-002,Merchant,30000,2026-02-10 13:42:52
CONV-0255,CLK-003482,FNP-U07389,AD-021,CMP-006,Deposit,10000,2026-03-05 20:48:36
CONV-0256,CLK-000820,FNP-U09206,AD-015,CMP-004,Deposit,10000,2026-01-31 15:39:24
CONV-0257,CLK-005993,FNP-U03322,AD-002,CMP-001,Signup,0,2026-02-09 14:47:46
CONV-0258,CLK-005509,FNP-U04792,AD-017,CMP-005,Deposit,40000,2026-02-09 06:46:47
CONV-0259,CLK-003261,FNP-U00939,AD-024,CMP-006,Signup,0,2026-01-07 14:45:00
CONV-0260,CLK-000327,FNP-U04004,AD-014,CMP-004,Deposit,40000,2026-01-26 09:55:26
CONV-0261,CLK-002756,FNP-U08309,AD-015,CMP-004,Transfer,200000,2026-02-20 13:39:58
